,Tempo de demora
Cliente 1,4.899412670467283
Cliente 2,4.1978121843729035
Cliente 3,3.8528653525153578
Cliente 4,5.401647519730525
Cliente 5,5.097684755201491
Cliente 6,3.6000631205530262
Cliente 7,5.343272543422453
Cliente 8,4.060782077660612
Cliente 9,5.874166212446157
Cliente 10,4.3107032072671965
Cliente 11,4.376426909431749
Cliente 12,5.196479469688647
Cliente 13,4.183055614851027
Cliente 14,3.7782757624446575
Cliente 15,3.758257308084679
Cliente 16,5.128809042387557
Cliente 17,4.715227843351638
Cliente 18,5.032544683423241
Cliente 19,5.151031328923372
Cliente 20,5.504198618478252
Cliente 21,4.433628715964117
Cliente 22,5.081148964360256
Cliente 23,3.4791833142223494
Cliente 24,4.884945862908416
Cliente 25,4.432801152250011
Cliente 26,4.0322900905926975
Cliente 27,4.9859448590366044
Cliente 28,3.9712680384571115
Cliente 29,5.861146815102177
Cliente 30,4.203688613178783
Cliente 31,6.654652859814658
Cliente 32,4.455542179244648
Cliente 33,6.885383844592363
Cliente 34,3.9457893598741904
Cliente 35,4.121956341321903
Cliente 36,4.947534492503761
Cliente 37,4.394385742270675
Cliente 38,5.352542200784055
Cliente 39,4.470120336604226
Cliente 40,4.216697968464574
Cliente 41,5.000600473263578
Cliente 42,3.2970812492373995
Cliente 43,4.094325928871622
Cliente 44,3.173869832558232
Cliente 45,3.994280690233659
Cliente 46,3.8639633568133895
Cliente 47,4.459121125357351
Cliente 48,3.4456586605194093
Cliente 49,4.66245819632461
Cliente 50,3.4374516389127177
Cliente 51,3.572656117966797
Cliente 52,6.149266214170166
Cliente 53,5.0158365602255905
Cliente 54,3.3666738665770897
Cliente 55,3.463597873893737
Cliente 56,4.856129528200455
Cliente 57,3.5006244116075993
Cliente 58,4.802245130403771
Cliente 59,3.9087354226382875
Cliente 60,3.613894979079559
Cliente 61,4.997157081796577
Cliente 62,3.9449158417304653
Cliente 63,4.6022801147017685
Cliente 64,4.400295656877254
Cliente 65,4.927367554801694
Cliente 66,6.197039441543807
Cliente 67,4.229278961031371
Cliente 68,1.6569329049499957
Cliente 69,4.906928170309596
Cliente 70,4.140989987795279
Cliente 71,3.325272235527651
Cliente 72,3.5230184674808167
Cliente 73,4.258684570298731
Cliente 74,3.4753217632195117
Cliente 75,2.7258095528659005
Cliente 76,4.011370823352276
Cliente 77,4.48677676423089
Cliente 78,5.184646685856282
Cliente 79,5.07181282825584
Cliente 80,3.947379011567565
Cliente 81,5.42671833796041
Cliente 82,3.3738928915363475
Cliente 83,3.5832445971988607
Cliente 84,3.240419443554468
Cliente 85,4.202924821462366
Cliente 86,4.629605722362523
Cliente 87,7.707051934086804
Cliente 88,6.0335849302559765
Cliente 89,5.480983915885298
Cliente 90,2.870449875461216
Cliente 91,3.5549983749152596
Cliente 92,4.6873954195046466
Cliente 93,3.1931714063489647
Cliente 94,3.5514238915612864
Cliente 95,4.340034498443735
Cliente 96,5.991298514217902
Cliente 97,5.792425882758035
Cliente 98,4.531197926181017
Cliente 99,5.37362159628292
Cliente 100,5.488562439166475
Cliente 101,7.654243029010127
Cliente 102,4.657073316785443
Cliente 103,4.788143755737338
Cliente 104,4.412875228352626
